官方 ROM (lineage-23.2-20260817) vendor 模块 __versions CRC 表
vermagic: 5.4.302-qgki-gc8c87694a044 SMP preempt mod_unload modversions aarch64
共 488 条符号
qca_cld3_wlan: netif_rx 0xdccf62df
qca_cld3_wlan: __pskb_pull_tail 0xe80c708c
qca_cld3_wlan: eth_type_trans 0x275feb69
qca_cld3_wlan: nla_put_64bit 0xfe01da59
qca_cld3_wlan: cfg80211_scan_done 0x4b20f365
qca_cld3_wlan: cnss_utils_set_wlan_unsafe_channel 0xfdec4b1c
qca_cld3_wlan: regulatory_set_wiphy_regd 0x4675f8cc
qca_cld3_wlan: __ipv6_addr_type 0x0d542439
qca_cld3_wlan: _raw_read_unlock_bh 0x0ad10eb8
qca_cld3_wlan: _raw_read_lock_bh 0x150e3657
qca_cld3_wlan: __wake_up 0x3eeb2322
qca_cld3_wlan: cfg80211_rx_mgmt 0xea2f76ac
qca_cld3_wlan: init_net 0xe0dbe043
qca_cld3_wlan: nr_cpu_ids 0x017de3d5
qca_cld3_wlan: param_ops_charp 0x16b69175
qca_cld3_wlan: param_ops_int 0x828b076e
qca_cld3_wlan: cpu_number 0x7a2af7b4
qca_cld3_wlan: param_set_copystring 0x29ec4768
qca_cld3_wlan: param_get_string 0x52a3401b
qca_cld3_wlan: param_set_int 0xbe09e97f
qca_cld3_wlan: cdev_add 0x470b8183
qca_cld3_wlan: cdev_init 0x0e3c8563
qca_cld3_wlan: device_create 0x2850e8de
qca_cld3_wlan: __class_create 0x337f9f2d
qca_cld3_wlan: alloc_chrdev_region 0xe3ec2f2b
qca_cld3_wlan: unregister_chrdev_region 0x6091b333
qca_cld3_wlan: class_destroy 0xcdf7225d
qca_cld3_wlan: device_destroy 0x1ed3c9ee
qca_cld3_wlan: cdev_del 0x2af1e524
qca_cld3_wlan: __alloc_skb 0xfc4f0440
qca_cld3_wlan: rtnl_lock 0xc7a4fbed
qca_cld3_wlan: cnss_utils_get_wlan_derived_mac_address 0x35dfb046
qca_cld3_wlan: cnss_utils_get_wlan_mac_address 0x795f800b
qca_cld3_wlan: cnss_utils_increment_driver_load_cnt 0xf34b2e3a
qca_cld3_wlan: cnss_utils_get_wlan_unsafe_channel 0xcfb39eb9
qca_cld3_wlan: __netlink_kernel_create 0x0e362bef
qca_cld3_wlan: jiffies_to_msecs 0x37befc70
qca_cld3_wlan: destroy_workqueue 0x8c03d20c
qca_cld3_wlan: flush_workqueue 0x42160169
qca_cld3_wlan: alloc_workqueue 0xdf9208c0
qca_cld3_wlan: netlink_kernel_release 0x5b4d534d
qca_cld3_wlan: unregister_inet6addr_notifier 0x2fe252cc
qca_cld3_wlan: preempt_schedule_notrace 0xf70e4a4d
qca_cld3_wlan: cfg80211_stop_iface 0x83a76740
qca_cld3_wlan: cfg80211_connect_done 0x836cc8d2
qca_cld3_wlan: flush_work 0x4735ac17
qca_cld3_wlan: unregister_netdevice_queue 0xc4694e93
qca_cld3_wlan: unregister_netdev 0x6b8bec9d
qca_cld3_wlan: register_netdev 0xab44fc0c
qca_cld3_wlan: register_netdevice 0xdbefb4cf
qca_cld3_wlan: dev_alloc_name 0x1c7691f9
qca_cld3_wlan: register_inet6addr_notifier 0x60352082
qca_cld3_wlan: register_inetaddr_notifier 0xf68285c0
qca_cld3_wlan: param_get_int 0x21eb6dfc
qca_cld3_wlan: preempt_schedule 0x43b0c9c3
qca_cld3_wlan: register_netdevice_notifier 0xd2da1048
qca_cld3_wlan: rtnl_is_locked 0x85670f1d
qca_cld3_wlan: ieee80211_hdrlen 0x7ef39823
qca_cld3_wlan: wiphy_unregister 0xe4d05849
qca_cld3_wlan: unregister_netdevice_notifier 0x9d0d6206
qca_cld3_wlan: wiphy_free 0xc401d77c
qca_cld3_wlan: unregister_inetaddr_notifier 0xfe029963
qca_cld3_wlan: cancel_work_sync 0xd969d6f4
qca_cld3_wlan: rtnl_unlock 0x6e720ff2
qca_cld3_wlan: netdev_update_features 0x4e60bddf
qca_cld3_wlan: rtnl_trylock 0xf4f14de6
qca_cld3_wlan: _ctype 0x11089ac7
qca_cld3_wlan: strncmp 0x5a921311
qca_cld3_wlan: kstrtouint 0x69ad2f20
qca_cld3_wlan: kstrtou16 0x7b0192da
qca_cld3_wlan: mac_pton 0x652032cb
qca_cld3_wlan: hex_to_bin 0x11f7ed4c
qca_cld3_wlan: kstrtoint 0x2276db98
qca_cld3_wlan: kstrtos8 0xbcbdf60f
qca_cld3_wlan: kstrtou8 0x46045dd7
qca_cld3_wlan: __arch_copy_to_user 0x6b2941b2
qca_cld3_wlan: strncasecmp 0x96b29254
qca_cld3_wlan: strchrnul 0xceab0311
qca_cld3_wlan: __arch_copy_from_user 0xaf507de1
qca_cld3_wlan: __check_object_size 0x88db9f48
qca_cld3_wlan: system_wq 0x2d3385d3
qca_cld3_wlan: ieee80211_freq_khz_to_channel 0x6bedf402
qca_cld3_wlan: __init_waitqueue_head 0xd9a5ea54
qca_cld3_wlan: cfg80211_del_sta_sinfo 0xd49d92c8
qca_cld3_wlan: free_netdev 0x820c92f2
qca_cld3_wlan: strlcpy 0x5792f848
qca_cld3_wlan: ether_setup 0x7b426786
qca_cld3_wlan: alloc_netdev_mqs 0xd941f067
qca_cld3_wlan: cfg80211_new_sta 0x71549c6a
qca_cld3_wlan: cfg80211_ch_switch_notify 0xd075c6aa
qca_cld3_wlan: cfg80211_chandef_create 0x18b53545
qca_cld3_wlan: cpu_hwcaps 0x5c1c3eb4
qca_cld3_wlan: cpu_hwcap_keys 0x5e2d7875
qca_cld3_wlan: arm64_const_caps_ready 0x14b89635
qca_cld3_wlan: __sw_hweight32 0x74c134b9
qca_cld3_wlan: get_random_bytes 0x79aa04a2
qca_cld3_wlan: strnstr 0xc310b981
qca_cld3_wlan: ktime_get_with_offset 0xc4f0da12
qca_cld3_wlan: wiphy_new_nm 0x9f118a50
qca_cld3_wlan: __msecs_to_jiffies 0x7f02188f
